food_name,ingredients,primary_category,calories_per_100g,protein_g,carbs_g,fats_g
biryani,"basmati rice, chicken, biryani masala, ghee, yogurt, onion, tomato, saffron",Indian Main Course,190,12.0,28.0,5.0
chicken curry,"chicken, tomato, onion, ginger, garlic, cumin, coriander, garam masala, oil",Indian Main Course,165,18.0,8.0,7.0
dal tadka,"yellow lentils, onion, tomato, cumin, mustard seeds, ghee, turmeric",Indian Dal,110,6.0,18.0,2.0
paneer butter masala,"paneer, tomato puree, butter, cream, cashew, ginger, garlic, kasuri methi",Indian Main Course,220,10.0,12.0,15.0
roti,"whole wheat flour, water, salt",Indian Bread,265,9.0,52.0,3.5
naan,"refined flour, yeast, yogurt, butter, salt",Indian Bread,310,9.0,50.0,8.0
rice,"basmati rice, water, salt",Indian Staple,130,3.0,28.0,0.3
idli,"rice, urad dal, salt",South Indian,58,2.0,12.0,0.3
dosa,"rice, urad dal, salt, oil",South Indian,160,3.5,28.0,4.0
sambar,"lentils, tomato, drumstick, tamarind, sambar powder, mustard seeds",South Indian,55,3.0,9.0,1.0
rajma,"kidney beans, tomato, onion, ginger, garlic, spices",Indian Dal,127,8.5,22.0,1.5
chole,"chickpeas, tomato, onion, spices, tea leaves",Indian Dal,164,9.0,27.0,3.0
aloo gobi,"potato, cauliflower, turmeric, cumin, coriander",Indian Vegetable,85,3.0,14.0,2.5
palak paneer,"spinach, paneer, tomato, onion, cream, spices",Indian Main Course,180,10.0,8.0,12.0
pizza,"dough, tomato sauce, mozzarella, oregano",Fast Food,266,11.4,33.3,10.0
burger,"bun, beef patty, lettuce, tomato, onion, cheese, ketchup",Fast Food,295,13.0,24.0,15.0
pasta,"pasta, tomato sauce, parmesan, olive oil, garlic",Italian,220,8.0,40.0,4.5
sandwich,"bread, lettuce, tomato, cheese, chicken, mayo",Western,250,14.0,30.0,8.0
salad,"lettuce, tomato, cucumber, carrot, olive oil, lemon",Salad,60,2.0,8.0,3.0
fried rice,"rice, egg, vegetables, soy sauce, sesame oil",Chinese,180,5.5,28.0,5.0
noodles,"wheat noodles, vegetables, soy sauce, sesame oil",Chinese,170,5.0,30.0,4.0
spring rolls,"rice paper, shrimp, vegetables, vermicelli",Chinese,160,6.0,22.0,5.0
omelette,"egg, butter, salt, pepper",Breakfast,154,11.0,1.0,12.0
scrambled eggs,"egg, butter, milk, salt",Breakfast,149,10.5,1.5,11.5
toast,"bread, butter",Breakfast,195,5.0,29.0,7.0
pancakes,"flour, egg, milk, butter, syrup",Breakfast,227,6.0,38.0,7.0
poha,"flattened rice, onion, mustard seeds, turmeric, lemon, peanuts",Indian Breakfast,180,4.5,32.0,4.0
upma,"semolina, onion, mustard seeds, curry leaves, vegetables",Indian Breakfast,170,4.0,30.0,4.5
paratha,"whole wheat flour, ghee, stuffing (optional)",Indian Bread,330,7.0,50.0,12.0
thali,"rice, dal, sabzi, roti, salad, raita, pickle",Indian Meal Set,600,22.0,85.0,18.0
dhokla,"chickpea flour, yogurt, ginger, baking soda, mustard seeds",Gujarati,160,5.0,28.0,3.0
vada pav,"potato fritter, bun, chutneys",Street Food,290,5.0,42.0,12.0
pav bhaji,"mixed vegetables, butter, pav bread, spices",Street Food,310,8.0,48.0,10.0
dahi vada,"urad dal fritters, yogurt, tamarind chutney",Indian Snack,190,8.0,28.0,5.5
aloo paratha,"whole wheat flour, potato filling, ghee",Indian Bread,380,8.0,55.0,14.0
masala chai,"tea, milk, sugar, ginger, cardamom",Beverage,60,2.0,10.0,1.5
lassi,"yogurt, water, sugar/salt",Beverage,75,3.0,12.0,1.5
fruit salad,"mixed fruits, honey, lemon",Dessert,65,1.0,15.0,0.3
gulab jamun,"khoya, flour, sugar syrup, cardamom",Indian Dessert,350,5.0,60.0,10.0
kheer,"milk, rice, sugar, cardamom, saffron",Indian Dessert,140,4.0,26.0,2.5
ice cream,"milk, cream, sugar, flavoring",Dessert,200,3.5,26.0,10.0
chocolate cake,"flour, cocoa, butter, sugar, egg",Dessert,370,5.5,55.0,15.0
apple,"apple",Fruit,52,0.3,14.0,0.2
banana,"banana",Fruit,89,1.1,23.0,0.3
orange,"orange",Fruit,47,0.9,12.0,0.1
grapes,"grapes",Fruit,69,0.7,18.0,0.2
watermelon,"watermelon",Fruit,30,0.6,8.0,0.2
mango,"mango",Fruit,60,0.8,15.0,0.4
chicken tikka,"chicken, yogurt, tikka masala, lemon",Indian Starter,180,25.0,4.0,7.0
samosa,"pastry, potato, peas, spices",Indian Snack,260,4.5,32.0,13.0
